"Hotel name","Old description","New description"
"02 Beach Club & Spa","02 Beach Club & Spa: a place to trade over-scheduling for recovery, with enough polish to make rest feel intentional.","02 Beach Club & Spa: come for altitude, movement, and a room that forgives both; stay for restorative calm with enough polish to count, arranged with care. The trip has enough structure to feel effortless."
"1 Hotel Brooklyn Bridge","1 Hotel Brooklyn Bridge: a city stay with nature-literate and design-forward manners—best when location, service, and a good breakfast must behave.","1 Hotel Brooklyn Bridge: Brooklyn supplies the address; a polished headquarters for appetite and ambition sets the tone. In its immediate set, it stands alone."
"1 Hotel Hanalei Bay","1 Hotel Hanalei Bay: a beach stay with enough drama for the first photograph and enough comfort for the third night.","1 Hotel Hanalei Bay: a beach retreat for travelers who need the day to work without feeling managed, with salt air and civilized shade. In its immediate set, it stands alone."
"1 Hotel Mayfair","1 Hotel Mayfair: a nature-literate and design-forward base in London, Westminster for stepping out, checking in, and letting the city do the rest.","1 Hotel Mayfair: London supplies the address; a polished headquarters for appetite and ambition sets the tone. The style has a pulse, but it still remembers the guest."
"1 Hotel Nashville","1 Hotel Nashville: a nature-literate and design-forward city address in Nashville, Tennessee, for polished arrivals, swift breakfasts, and a proper base between appointments.","1 Hotel Nashville: an occasion-ready address for people who need the morning to behave and the evening to improve, with a doorstep made for useful departures. The value argument is unusually well behaved for this tier."
"1 Hotel San Francisco","1 Hotel San Francisco: a nature-literate and design-forward urban landing pad with enough polish to make the schedule feel less like work.","1 Hotel San Francisco: San Francisco supplies the address; a polished headquarters for appetite and ambition sets the tone. AAA 4 Diamond discipline keeps the machinery quiet."
"1 Hotel South Beach","1 Hotel South Beach: a sand-and-sun refuge where the agenda can be reduced, mercifully, to terrace, water, dinner.","1 Hotel South Beach in Miami Beach, United States: a beach retreat pairing sunlit afternoons that make punctuality seem optional with family logistics made to look uncommonly simple. The style has a pulse, but it still remembers the guest."
"1 Hotel Toronto","1 Hotel Toronto: a nature-literate and design-forward urban landing pad with enough polish to make the schedule feel less like work.","1 Hotel Toronto: Toronto supplies the address; a polished headquarters for appetite and ambition sets the tone. The value argument is unusually well behaved for this tier."
"1 Hotel West Hollywood","1 Hotel West Hollywood: a nature-literate and design-forward urban landing pad with enough polish to make the schedule feel less like work.","1 Hotel West Hollywood treats West Hollywood, United States as a proper setting: the city close enough to behave, plus style that has remembered the guest. The value argument is unusually well behaved for this tier."
"100 Princes Street","100 Princes Street: a properly polished urban landing pad with enough polish to make the schedule feel less like work.","100 Princes Street: an occasion-ready address for travelers carrying appointments, appetite, and a need for calm, with a doorstep made for useful departures. The trip has enough structure to feel effortless."
